,MonLastDon,NoDon,MonFirstDon,AveDonPerPeriod
659,2,12,52,0.692307692308
276,21,7,38,0.552631578947
263,4,1,4,0.75
303,11,11,38,0.868421052632
83,4,12,34,1.05882352941
500,3,21,42,1.5
530,4,2,4,1.5
244,14,1,14,0.214285714286
249,23,2,87,0.0689655172414
728,14,4,64,0.1875
129,13,3,16,0.5625
534,11,7,62,0.338709677419
317,5,11,75,0.44
401,4,1,4,0.75
696,4,4,26,0.461538461538
192,11,1,11,0.272727272727
176,11,6,26,0.692307692308
571,7,14,48,0.875
139,23,14,93,0.451612903226
423,3,4,29,0.413793103448
563,2,7,29,0.724137931034
56,4,6,35,0.514285714286
528,5,7,26,0.807692307692
101,4,1,4,0.75
467,2,3,38,0.236842105263
382,5,14,86,0.488372093023
466,2,2,11,0.545454545455
294,14,1,14,0.214285714286
512,4,3,16,0.5625
659,2,12,52,0.692307692308
389,4,14,86,0.488372093023
487,23,7,88,0.238636363636
701,2,1,2,1.5
419,4,7,58,0.362068965517
536,4,2,41,0.146341463415
240,11,7,29,0.724137931034
508,2,2,41,0.146341463415
515,14,1,14,0.214285714286
283,4,6,28,0.642857142857
650,4,1,4,0.75
65,2,2,4,1.5
228,16,6,35,0.514285714286
741,16,6,81,0.222222222222
297,2,5,26,0.576923076923
464,14,3,31,0.290322580645
63,2,1,2,1.5
231,4,4,14,0.857142857143
28,14,3,35,0.257142857143
248,14,1,14,0.214285714286
357,14,5,28,0.535714285714
300,2,14,57,0.736842105263
726,5,24,79,0.911392405063
680,14,4,23,0.521739130435
520,4,6,39,0.461538461538
254,23,2,38,0.157894736842
582,11,8,52,0.461538461538
143,2,7,77,0.272727272727
98,4,5,11,1.36363636364
1,2,4,35,0.342857142857
221,2,15,64,0.703125
352,4,1,4,0.75
64,11,2,38,0.157894736842
138,12,15,71,0.633802816901
745,2,13,76,0.513157894737
64,11,2,38,0.157894736842
688,16,2,27,0.222222222222
623,9,4,65,0.184615384615
289,21,16,64,0.75
174,7,10,47,0.63829787234
690,4,1,4,0.75
105,11,5,35,0.428571428571
427,16,4,23,0.521739130435
48,38,1,38,0.0789473684211
14,4,1,4,0.75
657,23,4,52,0.230769230769
301,11,7,64,0.328125
455,14,3,28,0.321428571429
579,4,11,78,0.423076923077
722,16,4,33,0.363636363636
98,4,5,11,1.36363636364
491,38,1,38,0.0789473684211
303,11,11,38,0.868421052632
466,2,2,11,0.545454545455
65,2,2,4,1.5
300,2,14,57,0.736842105263
9,21,1,21,0.142857142857
622,11,1,11,0.272727272727
323,16,2,26,0.230769230769
289,21,16,64,0.75
568,2,4,26,0.461538461538
290,4,1,4,0.75
156,4,2,52,0.115384615385
464,14,3,31,0.290322580645
426,16,2,16,0.375
306,16,11,40,0.825
4,11,11,42,0.785714285714
12,4,5,23,0.652173913043
187,11,12,58,0.620689655172
406,23,8,64,0.375
96,4,2,4,1.5
509,2,1,2,1.5
733,11,6,58,0.310344827586
548,21,3,35,0.257142857143
478,7,5,35,0.428571428571
501,11,2,16,0.375
127,2,4,11,1.09090909091
199,15,16,82,0.585365853659
299,2,10,49,0.612244897959
162,4,1,4,0.75
235,16,3,21,0.428571428571
23,9,2,16,0.375
473,4,1,4,0.75
487,23,7,88,0.238636363636
683,4,8,28,0.857142857143
303,11,11,38,0.868421052632
309,23,3,48,0.1875
569,23,1,23,0.130434782609
34,4,7,28,0.75
686,4,16,38,1.26315789474
84,2,2,23,0.260869565217
733,11,6,58,0.310344827586
537,4,9,26,1.03846153846
181,11,4,34,0.352941176471
453,0,26,76,1.02631578947
67,2,10,52,0.576923076923
161,2,16,81,0.592592592593
307,4,6,46,0.391304347826
703,11,2,11,0.545454545455
181,11,4,34,0.352941176471
246,14,2,14,0.428571428571
316,3,5,26,0.576923076923
278,11,1,11,0.272727272727
346,11,3,15,0.6
545,4,1,4,0.75
419,4,7,58,0.362068965517
694,4,2,4,1.5
622,11,1,11,0.272727272727
